userId,email,firstName,lastName,regDate
1,anna.nowak@example.com,Anna,Nowak,1/15/24
2,marcin.kowalski@example.com,Marcin,Kowalski,1/16/24
3,piotr.wisniewski@example.com,Piotr,Wisniewski,1/17/24
4,katarzyna.wojcik@example.com,Katarzyna,Wojcik,1/18/24
5,michal.kaczmarek@example.com,Michal,Kaczmarek,1/19/24
6,karolina.mazur@example.com,Karolina,Mazur,1/20/24
7,jan.krawczyk@example.com,Jan,Krawczyk,1/21/24
8,monika.dabrowska@example.com,Monika,Dabrowska,1/22/24
9,andrzej.zajac@example.com,Andrzej,Zajac,1/23/24
10,julia.witkowska@example.com,Julia,Witkowska,1/24/24
11,rafal.lis@example.com,Rafal,Lis,1/25/24
12,beata.krol@example.com,Beata,Krol,1/26/24
13,grzegorz.jasinski@example.com,Grzegorz,Jasinski,1/27/24
14,natalia.wilk@example.com,Natalia,Wilk,1/28/24
15,robert.kubiak@example.com,Robert,Kubiak,1/29/24
16,weronika.adamczyk@example.com,Weronika,Adamczyk,1/30/24
17,damian.dudek@example.com,Damian,Dudek,1/31/24
18,agata.baran@example.com,Agata,Baran,2/1/24
19,dominik.musial@example.com,Dominik,Musial,2/2/24
20,adam.kamienik@example.com,Adam,Kamienik,1/15/24
